SEMBOL;F?YAT;GUN Fark %;1 GUN ONCE HISSE FARK %;SKOR;alt_skor_kurumdan önce;KURUM ALI?-SATI? ANAL?Z?;TAKILDI?I ANAL?ZLER;GEÇEN ANAL?ZLER;OLUSTURULMA_ZAMANI
PASEU;88,65;3,84;1,9;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=3.41, sat??=0.39 | Al??lar: BOFA 1g: +0.32, BOFA 2g: +0.26, BOFA 3g: +0.26, TERA 1g: +0.56, TERA 2g: +1.00, TERA 3g: +1.01 | Sat??lar: KAMU 1g: -0.06, KAMU 2g: -0.17, KAMU 3g: -0.17;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
GESAN;46,5;3,61;0,04;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.64, sat??=0.18 | Al??lar: BOFA 2g: +0.01, BOFA 3g: +0.01, KAMU 2g: +0.31, KAMU 3g: +0.31, TERA 1g: +0.00 | Sat??lar: BOFA 1g: -0.04, KAMU 1g: -0.06, TERA 2g: -0.04, TERA 3g: -0.04;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
SKYMD;12,45;3,53;-2,2;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.50, sat??=4.09 | Al??lar: TERA 1g: +0.23, TERA 2g: +0.14, TERA 3g: +0.13 | Sat??lar: BOFA 1g: -0.92, BOFA 2g: -0.53, BOFA 3g: -0.60, KAMU 1g: -0.57, KAMU 2g: -0.72, KAMU 3g: -0.76;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
AVAX_USDT_BIN;21,44;3,52;-0,14;3;3;Kurum hareketi nötr. Toplam al??=0.00, sat??=0.00 | Al??lar:  | Sat??lar: ;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
SAYAS;55,9;3,49;9,93;5;6;Kurum hareketi nötr. Toplam al??=1.58, sat??=1.40 | Al??lar: KAMU 1g: +0.22, KAMU 2g: +0.59, KAMU 3g: +0.59, TERA 2g: +0.09, TERA 3g: +0.10 | Sat??lar: BOFA 1g: -0.29, BOFA 2g: -0.55, BOFA 3g: -0.56;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
TUREX;10,39;3,27;-3,44;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=1.08, sat??=3.59 | Al??lar: BOFA 1g: +0.21, BOFA 2g: +0.39, BOFA 3g: +0.41, TERA 2g: +0.03, TERA 3g: +0.04 | Sat??lar: KAMU 1g: -0.92, KAMU 2g: -1.32, KAMU 3g: -1.35, TERA 1g: -0.00;"EMA trend; Golden Cross uzak; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
SELVA;2,46;3,25;3,8;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.60, sat??=1.32 | Al??lar: KAMU 1g: +0.18, TERA 1g: +0.01, TERA 2g: +0.16, TERA 3g: +0.25 | Sat??lar: BOFA 1g: -0.27, BOFA 2g: -0.23, BOFA 3g: -0.35, KAMU 2g: -0.42, KAMU 3g: -0.04;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
BTCIM;4,41;2,95;-1,12;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.07, sat??=1.78 | Al??lar: BOFA 2g: +0.06, BOFA 3g: +0.02 | Sat??lar: BOFA 1g: -0.18, KAMU 1g: -0.13, KAMU 2g: -0.71, KAMU 3g: -0.68, TERA 1g: -0.00, TERA 2g: -0.06, TERA 3g: -0.02;"EMA trend; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
BAGFS;33,76;2,9;9,97;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.03, sat??=1.95 | Al??lar: BOFA 1g: +0.03 | Sat??lar: BOFA 2g: -0.36, BOFA 3g: -0.36, KAMU 1g: -0.45, KAMU 2g: -0.24, KAMU 3g: -0.23, TERA 1g: -0.00, TERA 2g: -0.16, TERA 3g: -0.16;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
HEKTS;3,46;2,89;2,06;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.00, sat??=0.72 | Al??lar:  | Sat??lar: BOFA 1g: -0.06, BOFA 2g: -0.17, BOFA 3g: -0.19, KAMU 1g: -0.02, KAMU 2g: -0.09, KAMU 3g: -0.08, TERA 1g: -0.00, TERA 2g: -0.06, TERA 3g: -0.06;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
UFUK;1105;2,81;-1,34;6;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.04, sat??=0.01 | Al??lar: BOFA 1g: +0.01, BOFA 2g: +0.01, BOFA 3g: +0.01, KAMU 1g: +0.00 | Sat??lar: KAMU 2g: -0.00, KAMU 3g: -0.00, TERA 2g: -0.01, TERA 3g: -0.01;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
CEMZY;13,62;2,79;-0,73;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.57, sat??=2.68 | Al??lar: TERA 2g: +0.28, TERA 3g: +0.28 | Sat??lar: BOFA 1g: -0.24, BOFA 2g: -1.16, BOFA 3g: -1.18, KAMU 1g: -0.08, KAMU 2g: -0.01, KAMU 3g: -0.01;"EMA trend; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
OYAYO;32,82;2,74;3,53;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.12, sat??=0.55 | Al??lar: KAMU 1g: +0.04, TERA 2g: +0.04, TERA 3g: +0.04 | Sat??lar: BOFA 2g: -0.23, BOFA 3g: -0.23, KAMU 2g: -0.05, KAMU 3g: -0.03, TERA 1g: -0.01;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
TGSAS;104;2,69;1,56;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=2.07, sat??=0.00 | Al??lar: BOFA 1g: +0.53, BOFA 2g: +0.48, BOFA 3g: +0.49, KAMU 1g: +0.24, KAMU 2g: +0.16, KAMU 3g: +0.16, TERA 2g: +0.01, TERA 3g: +0.01 | Sat??lar: ;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
PRKME;18;2,67;2,33;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.47, sat??=0.11 | Al??lar: BOFA 2g: +0.11, BOFA 3g: +0.10, KAMU 1g: +0.06, KAMU 2g: +0.06, KAMU 3g: +0.07, TERA 2g: +0.03, TERA 3g: +0.03 | Sat??lar: BOFA 1g: -0.10, TERA 1g: -0.00;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
GWIND;24,4;2,62;-0,81;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.58, sat??=0.41 | Al??lar: KAMU 1g: +0.06, KAMU 2g: +0.26, KAMU 3g: +0.26, TERA 2g: +0.00, TERA 3g: +0.00 | Sat??lar: BOFA 1g: -0.06, BOFA 2g: -0.18, BOFA 3g: -0.18;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
AKFGY;2,69;2,6;1,51;7;6;Güçlü kurum al?? var (+1 puan): Toplam al??=0.32, sat??=0.25 | Al??lar: BOFA 1g: +0.01, BOFA 2g: +0.05, BOFA 3g: +0.05, KAMU 1g: +0.12, KAMU 2g: +0.06, KAMU 3g: +0.04 | Sat??lar: TERA 1g: -0.00, TERA 2g: -0.11, TERA 3g: -0.14;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ANELE;16,62;2,59;-1,01;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=0.42, sat??=0.06 | Al??lar: KAMU 1g: +0.13, KAMU 2g: +0.11, KAMU 3g: +0.11, TERA 2g: +0.03, TERA 3g: +0.04 | Sat??lar: BOFA 1g: -0.04, BOFA 2g: -0.01, BOFA 3g: -0.01;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; Stochastic K < 30; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; PD/DD makul düzeyde";16.07.2025 21:27
ONRYT;62,55;2,56;-0,08;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=0.87, sat??=0.23 | Al??lar: BOFA 1g: +0.44, BOFA 2g: +0.20, BOFA 3g: +0.21, KAMU 1g: +0.03 | Sat??lar: KAMU 2g: -0.02, KAMU 3g: -0.02, TERA 2g: -0.09, TERA 3g: -0.09;"EMA trend; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
KIMMR;12,06;2,49;1,01;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.11, sat??=0.42 | Al??lar: BOFA 1g: +0.11 | Sat??lar: BOFA 2g: -0.13, BOFA 3g: -0.12, KAMU 1g: -0.07, KAMU 2g: -0.01, KAMU 3g: -0.00, TERA 2g: -0.05, TERA 3g: -0.05;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
BINBN;209,3;2,48;-4,43;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.38, sat??=0.79 | Al??lar: KAMU 1g: +0.07, KAMU 2g: +0.12, KAMU 3g: +0.12, TERA 2g: +0.03, TERA 3g: +0.03 | Sat??lar: BOFA 1g: -0.49, BOFA 2g: -0.15, BOFA 3g: -0.15, TERA 1g: -0.00;"EMA trend; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"Golden Cross seviyesine yak?n; RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
YGGYO;83,1;2,47;-0,06;7;6;Güçlü kurum al?? var (+1 puan): Toplam al??=0.07, sat??=0.02 | Al??lar: BOFA 1g: +0.01, BOFA 2g: +0.02, BOFA 3g: +0.03, KAMU 1g: +0.00 | Sat??lar: KAMU 2g: -0.01, KAMU 3g: -0.01, TERA 2g: -0.00, TERA 3g: -0.00;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
BTC_USDT_BIN;120138;2,42;0,89;4;4;Kurum hareketi nötr. Toplam al??=0.00, sat??=0.00 | Al??lar:  | Sat??lar: ;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
KTSKR;60,2;2,41;1,26;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=0.62, sat??=0.17 | Al??lar: BOFA 2g: +0.02, BOFA 3g: +0.01, KAMU 1g: +0.01, KAMU 2g: +0.21, KAMU 3g: +0.22, TERA 2g: +0.08, TERA 3g: +0.07 | Sat??lar: BOFA 1g: -0.17;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
SMART;24,08;2,41;-0,25;4;4;Kurum hareketi nötr. Toplam al??=0.53, sat??=0.57 | Al??lar: BOFA 1g: +0.16, BOFA 2g: +0.16, BOFA 3g: +0.17, KAMU 1g: +0.04 | Sat??lar: KAMU 2g: -0.26, KAMU 3g: -0.27, TERA 2g: -0.02, TERA 3g: -0.02;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
ANSGR;88,6;2,26;-0,45;4;4;Güçlü kurum al?? var (+1 puan): Toplam al??=0.30, sat??=0.05 | Al??lar: BOFA 1g: +0.10, BOFA 2g: +0.10, BOFA 3g: +0.10, TERA 1g: +0.00 | Sat??lar: KAMU 1g: -0.01, KAMU 2g: -0.02, KAMU 3g: -0.01, TERA 2g: -0.00, TERA 3g: -0.00;"EMA trend; Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
PATEK;23,18;2,24;1,22;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=2.52, sat??=3.13 | Al??lar: KAMU 1g: +0.22, KAMU 2g: +0.30, KAMU 3g: +0.29, TERA 1g: +0.47, TERA 2g: +0.62, TERA 3g: +0.62 | Sat??lar: BOFA 1g: -0.27, BOFA 2g: -1.43, BOFA 3g: -1.44;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
ERSU;14,8;2,16;0;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=1.57, sat??=0.00 | Al??lar: BOFA 1g: +0.27, BOFA 2g: +0.35, BOFA 3g: +0.37, KAMU 1g: +0.09, KAMU 2g: +0.23, KAMU 3g: +0.23, TERA 2g: +0.01, TERA 3g: +0.01 | Sat??lar: ;"EMA trend; Golden Cross uzak; RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"RSI 30-50 aras? ve yukar? trendde; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
DITAS;28,3;2,12;5,52;4;5;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.09, sat??=1.66 | Al??lar: BOFA 1g: +0.09 | Sat??lar: BOFA 2g: -0.08, BOFA 3g: -0.07, KAMU 1g: -0.39, KAMU 2g: -0.56, KAMU 3g: -0.54, TERA 2g: -0.01, TERA 3g: -0.02;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
BYDNR;21,7;2,12;0,46;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=2.33, sat??=1.17 | Al??lar: BOFA 1g: +0.40, BOFA 2g: +0.83, BOFA 3g: +0.85, TERA 1g: +0.01, TERA 2g: +0.13, TERA 3g: +0.12 | Sat??lar: KAMU 1g: -0.27, KAMU 2g: -0.44, KAMU 3g: -0.46;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
TRCAS;31,66;2,08;-1,12;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=3.09, sat??=1.23 | Al??lar: BOFA 1g: +0.23, BOFA 2g: +1.43, BOFA 3g: +1.44, KAMU 1g: +0.00 | Sat??lar: KAMU 2g: -0.59, KAMU 3g: -0.59, TERA 1g: -0.00, TERA 2g: -0.02, TERA 3g: -0.02;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; Stochastic K < 30; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; PD/DD makul düzeyde";16.07.2025 21:27
GEDZA;22;2;-0,36;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.74, sat??=0.15 | Al??lar: KAMU 1g: +0.09, KAMU 2g: +0.16, KAMU 3g: +0.16, TERA 2g: +0.17, TERA 3g: +0.17 | Sat??lar: BOFA 1g: -0.06, BOFA 2g: -0.04, BOFA 3g: -0.04;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
PLTUR;25,58;1,95;0,95;5;5;Güçlü kurum al?? var (+1 puan): Toplam al??=0.98, sat??=0.32 | Al??lar: KAMU 1g: +0.30, KAMU 2g: +0.35, KAMU 3g: +0.34 | Sat??lar: BOFA 1g: -0.10, BOFA 2g: -0.04, BOFA 3g: -0.04, TERA 1g: -0.00, TERA 2g: -0.07, TERA 3g: -0.07;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
VKING;31,06;1,93;-0,45;5;4;Güçlü kurum al?? var (+1 puan): Toplam al??=0.48, sat??=0.37 | Al??lar: KAMU 2g: +0.23, KAMU 3g: +0.23, TERA 2g: +0.01, TERA 3g: +0.01 | Sat??lar: BOFA 1g: -0.03, BOFA 2g: -0.10, BOFA 3g: -0.10, KAMU 1g: -0.15;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; PD/DD > 3 veya 0; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor";16.07.2025 21:27
ERCB;75,7;1,85;-1,24;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.02, sat??=0.16 | Al??lar: KAMU 2g: +0.01, KAMU 3g: +0.01 | Sat??lar: BOFA 1g: -0.03, BOFA 2g: -0.01, BOFA 3g: -0.01, KAMU 1g: -0.07, TERA 2g: -0.02, TERA 3g: -0.02;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
HRKET;82;1,83;3,14;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.78, sat??=2.34 | Al??lar: BOFA 2g: +0.40, BOFA 3g: +0.39, TERA 1g: +0.00 | Sat??lar: BOFA 1g: -0.75, KAMU 1g: -0.04, KAMU 2g: -0.51, KAMU 3g: -0.51, TERA 2g: -0.27, TERA 3g: -0.27;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
KRPLS;7,13;1,82;2,3;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=1.19, sat??=0.96 | Al??lar: BOFA 1g: +0.34, BOFA 2g: +0.28, BOFA 3g: +0.32, TERA 2g: +0.12, TERA 3g: +0.13 | Sat??lar: KAMU 1g: -0.27, KAMU 2g: -0.33, KAMU 3g: -0.34, TERA 1g: -0.01;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
BASGZ;37,1;1,78;1,64;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=0.64, sat??=0.22 | Al??lar: BOFA 2g: +0.16, BOFA 3g: +0.16, KAMU 2g: +0.16, KAMU 3g: +0.16 | Sat??lar: BOFA 1g: -0.14, KAMU 1g: -0.00, TERA 2g: -0.04, TERA 3g: -0.04;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
TNZTP;47,46;1,77;9,35;5;6;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.11, sat??=0.89 | Al??lar: KAMU 1g: +0.11 | Sat??lar: BOFA 1g: -0.40, BOFA 2g: -0.10, BOFA 3g: -0.11, KAMU 2g: -0.06, KAMU 3g: -0.06, TERA 2g: -0.08, TERA 3g: -0.08;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
BEYAZ;22,7;1,76;3,18;3;4;Güçlü kurum sat?? var (-1 puan): Toplam al??=0.39, sat??=0.97 | Al??lar: BOFA 2g: +0.03, BOFA 3g: +0.02, TERA 1g: +0.01, TERA 2g: +0.17, TERA 3g: +0.16 | Sat??lar: BOFA 1g: -0.13, KAMU 1g: -0.20, KAMU 2g: -0.32, KAMU 3g: -0.32;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
TRILC;21,58;1,76;0,56;7;7;Güçlü kurum al?? var (+1 puan): Toplam al??=2.69, sat??=0.65 | Al??lar: BOFA 1g: +0.29, BOFA 2g: +0.67, BOFA 3g: +0.68, TERA 1g: +0.01, TERA 2g: +0.54, TERA 3g: +0.49 | Sat??lar: KAMU 1g: -0.15, KAMU 2g: -0.25, KAMU 3g: -0.25;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; MACD pozitif ve histogram art??ta; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
KUTPO;82,35;1,76;0,43;6;6;Güçlü kurum al?? var (+1 puan): Toplam al??=1.14, sat??=0.15 | Al??lar: BOFA 2g: +0.02, BOFA 3g: +0.01, KAMU 1g: +0.22, KAMU 2g: +0.44, KAMU 3g: +0.45 | Sat??lar: BOFA 1g: -0.13, TERA 2g: -0.01, TERA 3g: -0.01;"RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Golden Cross seviyesine yak?n; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
AKSEN;34,5;1,68;-1,43;4;4;Kurum hareketi nötr. Toplam al??=0.43, sat??=0.48 | Al??lar: KAMU 1g: +0.06, KAMU 2g: +0.14, KAMU 3g: +0.14, TERA 1g: +0.00, TERA 2g: +0.04, TERA 3g: +0.05 | Sat??lar: BOFA 1g: -0.18, BOFA 2g: -0.15, BOFA 3g: -0.16;"Golden Cross uzak; RSI seviyesi/trendi (1); RSI son 3 gün art?? (2); MACD pozitif/histogram; OBV pozitif; ADX <= 15";"EMA k?sa vadede yukar? trend; Momentum pozitif; Stochastic K dipten ç?k?yor; PD/DD makul düzeyde";16.07.2025 21:27
